"","X","Unique.Id","indicator_id","geo_type_id","measurement_type_id","internal_id","subtopic_id","name","Measure","geo_type_name","description","geo_entity_id","geo_entity_name","year_description","data_value","lon","lat","Address","zipcode"
"14",14,410761,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",202,"Downtown - Heights - Slope","Annual Average 2016",8.86,-74.0006686,40.7208595,"459 Broadway, New York, NY 10013, USA","10013"
"15",15,410764,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",203,"Bedford Stuyvesant - Crown Heights","Annual Average 2016",7.94,-73.9422324,40.6694022,"792 Eastern Pkwy, Brooklyn, NY 11213, USA","11213"
"16",16,410767,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",204,"East New York","Annual Average 2016",7.8,-73.8759245,40.6590529,"997 Elton St, Brooklyn, NY 11208, USA","11208"
"17",17,410770,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",205,"Sunset Park","Annual Average 2016",8.4,-74.0157776,40.64655,"5194 3rd Ave, Brooklyn, NY 11220, USA","11220"
"18",18,410773,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",206,"Borough Park","Annual Average 2016",7.45,-73.9921028,40.6350319,"4822 13th Ave, Brooklyn, NY 11219, USA","11219"
"19",19,410776,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",207,"East Flatbush - Flatbush","Annual Average 2016",7.64,-73.9486519,40.639045,"1910 Nostrand Ave, Brooklyn, NY 11226, USA","11226"
"20",20,410779,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",208,"Canarsie - Flatlands","Annual Average 2016",7.12,-73.9321664,40.6232714,"4502 Avenue L, Brooklyn, NY 11234, USA","11234"
"21",21,410782,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",209,"Bensonhurst - Bay Ridge","Annual Average 2016",7.11,-74.0298767,40.6263732,"8201 3rd Ave, Brooklyn, NY 11209, USA","11209"
"22",22,410785,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",210,"Coney Island - Sheepshead Bay","Annual Average 2016",6.75,-73.9707016,40.5755438,"145 Sea Breeze Ave, Brooklyn, NY 11224, USA","11224"
"23",23,410788,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",211,"Williamsburg - Bushwick","Annual Average 2016",8.67,-73.9570696,40.7081156,"311 Broadway, Brooklyn, NY 11211, USA","11211"
"24",24,410791,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",301,"Washington Heights","Annual Average 2016",7.81,-73.9393554,40.8417082,"3335 Broadway, New York, NY 10032, USA","10032"
"25",25,410794,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",302,"Central Harlem - Morningside Heights","Annual Average 2016",7.95,-73.9624327,40.8089564,"Mathematics Hall, 2990 Broadway, New York, NY 10027, USA","10027"
"26",26,410797,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",303,"East Harlem","Annual Average 2016",8.19,-73.9389213,40.7957399,"2237 2nd Ave, New York, NY 10029, USA","10029"
"27",27,410800,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",304,"Upper West Side","Annual Average 2016",8.49,-73.9753676,40.7870106,"525 Amsterdam Ave, New York, NY 10024, USA","10024"
"28",28,410803,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",305,"Upper East Side","Annual Average 2016",9.07,-73.9565551,40.7735649,"235 E 78th St, New York, NY 10075, USA","10075"
"29",29,410806,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",306,"Chelsea - Clinton","Annual Average 2016",10.32,-73.994137,40.7620382,"645 10th Ave, New York, NY 10036, USA","10036"
"30",30,410809,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",307,"Gramercy Park - Murray Hill","Annual Average 2016",10.76,-73.9844722,40.7367783,"243 3rd Ave, New York, NY 10003, USA","10003"
"31",31,410812,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",308,"Greenwich Village - SoHo","Annual Average 2016",9.52,-74.0029883,40.723301,"501 Broome St, New York, NY 10013, USA","10013"
"32",32,410815,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",309,"Union Square - Lower East Side","Annual Average 2016",9.02,-73.9761295,40.7127869,"East River Promenade, New York, NY 10002, USA","10002"
"33",33,410818,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",310,"Lower Manhattan","Annual Average 2016",9.53,-74.0006686,40.7208595,"459 Broadway, New York, NY 10013, USA","10013"
"34",34,410821,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",401,"Long Island City - Astoria","Annual Average 2016",8.65,-73.9234619,40.7643574,"3094 31st St, Astoria, NY 11102, USA","11102"
"35",35,410824,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",402,"West Queens","Annual Average 2016",8.14,-73.7529749,40.7772409,"32-2 West Dr, Little Neck, NY 11363, USA","11363"
"36",36,410827,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",403,"Flushing - Clearview","Annual Average 2016",7.22,-73.777482,40.7593085,"4250 Clearview Expressway Service Road, Bayside, NY 11361, USA","11361"
"37",37,410830,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",404,"Bayside - Little Neck","Annual Average 2016",6.88,-73.739473,40.7669896,"247-21 Northern Blvd, Douglaston, NY 11363, USA","11363"
"38",38,410833,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",405,"Ridgewood - Forest Hills","Annual Average 2016",7.56,-73.8442894,40.7219087,"107-55 Queens Blvd, Forest Hills, NY 11375, USA","11375"
"39",39,410836,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",406,"Fresh Meadows","Annual Average 2016",7.03,-73.7801447,40.7335179,"73-15 192nd St, Flushing, NY 11366, USA","11366"
"40",40,410839,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",407,"Southwest Queens","Annual Average 2016",7.02,-73.7948516,40.7282239,"7424 175th St, Fresh Meadows, NY 11366, USA","11366"
"41",41,410842,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",408,"Jamaica","Annual Average 2016",6.99,-73.7889689,40.702677,"103-20 169th St, Jamaica, NY 11433, USA","11433"
"42",42,410845,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",409,"Southeast Queens","Annual Average 2016",6.51,-73.8398084,40.6572736,"16004 Cross Bay Blvd, Howard Beach, NY 11414, USA","11414"
"43",43,410848,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",410,"Rockaways","Annual Average 2016",5.98,-73.7977928,40.592658,"PO Box920898, Arverne, NY 11692, United States","11692"
"44",44,410851,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",501,"Port Richmond","Annual Average 2016",7.3,-74.1254641,40.6354914,"124 Bodine St, Staten Island, NY 10310, USA","10310"
"45",45,410854,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",502,"Stapleton - St. George","Annual Average 2016",6.8,-74.0783714,40.6270496,"135 Canal St, Staten Island, NY 10304, USA","10304"
"46",46,410857,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",503,"Willowbrook","Annual Average 2016",7.1,-74.1384762,40.6031598,"1038 Willowbrook Rd, Staten Island, NY 10314, USA","10314"
"47",47,410860,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",504,"South Beach - Tottenville","Annual Average 2016",6.59,-74.0668076,40.5903824,"280 Father Capodanno Blvd, Staten Island, NY 10305, USA","10305"
"48",48,410863,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",101,"Kingsbridge - Riverdale","Annual Average 2016",7.5,-73.9024298,40.883563,"3450 Kingsbridge Ave, Bronx, NY 10463, USA","10463"
"49",49,410866,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",102,"Northeast Bronx","Annual Average 2016",7.55,-73.8648268,40.8447819,"60 Metropolitan Oval, Bronx, NY 10462, USA","10462"
"50",50,410869,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",103,"Fordham - Bronx Pk","Annual Average 2016",7.57,-73.8945473,40.8648137,"Poe Park, Grand Concourse bet. E. 192 St. and, E Kingsbridge Rd, Bronx, NY 10458, United States","10458"
"51",51,410872,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",104,"Pelham - Throgs Neck","Annual Average 2016",7.5,-73.8053262,40.8119378,"140 Pennyfield Ave, Bronx, NY 10465, USA","10465"
"52",52,410875,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",201,"Greenpoint","Annual Average 2016",9.46,-73.9515032,40.7304701,"210 Greenpoint Ave, Brooklyn, NY 11222, USA","11222"
"53",53,410878,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",202,"Downtown - Heights - Slope","Annual Average 2016",8.86,-74.0006686,40.7208595,"459 Broadway, New York, NY 10013, USA","10013"
"54",54,410881,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",203,"Bedford Stuyvesant - Crown Heights","Annual Average 2016",7.94,-73.9422324,40.6694022,"792 Eastern Pkwy, Brooklyn, NY 11213, USA","11213"
"55",55,410884,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",204,"East New York","Annual Average 2016",7.8,-73.8759245,40.6590529,"997 Elton St, Brooklyn, NY 11208, USA","11208"
"56",56,410887,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",205,"Sunset Park","Annual Average 2016",8.4,-74.0157776,40.64655,"5194 3rd Ave, Brooklyn, NY 11220, USA","11220"
"57",57,410890,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",206,"Borough Park","Annual Average 2016",7.45,-73.9921028,40.6350319,"4822 13th Ave, Brooklyn, NY 11219, USA","11219"
"58",58,410893,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",207,"East Flatbush - Flatbush","Annual Average 2016",7.64,-73.9486519,40.639045,"1910 Nostrand Ave, Brooklyn, NY 11226, USA","11226"
"59",59,410896,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",208,"Canarsie - Flatlands","Annual Average 2016",7.12,-73.9321664,40.6232714,"4502 Avenue L, Brooklyn, NY 11234, USA","11234"
"60",60,410899,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",209,"Bensonhurst - Bay Ridge","Annual Average 2016",7.11,-74.0298767,40.6263732,"8201 3rd Ave, Brooklyn, NY 11209, USA","11209"
"61",61,410902,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",210,"Coney Island - Sheepshead Bay","Annual Average 2016",6.75,-73.9707016,40.5755438,"145 Sea Breeze Ave, Brooklyn, NY 11224, USA","11224"
"62",62,410905,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",211,"Williamsburg - Bushwick","Annual Average 2016",8.67,-73.9570696,40.7081156,"311 Broadway, Brooklyn, NY 11211, USA","11211"
"63",63,410908,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",301,"Washington Heights","Annual Average 2016",7.81,-73.9393554,40.8417082,"3335 Broadway, New York, NY 10032, USA","10032"
"64",64,410911,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",302,"Central Harlem - Morningside Heights","Annual Average 2016",7.95,-73.9624327,40.8089564,"Mathematics Hall, 2990 Broadway, New York, NY 10027, USA","10027"
"65",65,410914,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",303,"East Harlem","Annual Average 2016",8.19,-73.9389213,40.7957399,"2237 2nd Ave, New York, NY 10029, USA","10029"
"66",66,410917,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",304,"Upper West Side","Annual Average 2016",8.49,-73.9753676,40.7870106,"525 Amsterdam Ave, New York, NY 10024, USA","10024"
"67",67,410920,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",401,"Long Island City - Astoria","Annual Average 2016",8.65,-73.9234619,40.7643574,"3094 31st St, Astoria, NY 11102, USA","11102"
"68",68,410923,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",402,"West Queens","Annual Average 2016",8.14,-73.7529749,40.7772409,"32-2 West Dr, Little Neck, NY 11363, USA","11363"
"69",69,410926,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",403,"Flushing - Clearview","Annual Average 2016",7.22,-73.777482,40.7593085,"4250 Clearview Expressway Service Road, Bayside, NY 11361, USA","11361"
"70",70,410929,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",405,"Ridgewood - Forest Hills","Annual Average 2016",7.56,-73.8442894,40.7219087,"107-55 Queens Blvd, Forest Hills, NY 11375, USA","11375"
"71",71,410932,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",407,"Southwest Queens","Annual Average 2016",7.02,-73.7948516,40.7282239,"7424 175th St, Fresh Meadows, NY 11366, USA","11366"
"72",72,410935,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",408,"Jamaica","Annual Average 2016",6.99,-73.7889689,40.702677,"103-20 169th St, Jamaica, NY 11433, USA","11433"
"73",73,410938,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",409,"Southeast Queens","Annual Average 2016",6.51,-73.8398084,40.6572736,"16004 Cross Bay Blvd, Howard Beach, NY 11414, USA","11414"
"74",74,410941,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",410,"Rockaways","Annual Average 2016",5.98,-73.7977928,40.592658,"PO Box920898, Arverne, NY 11692, United States","11692"
"75",75,410944,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",305307,"Upper East Side-Gramercy","Annual Average 2016",9.86,-73.9582308,40.7693371,"1395 2nd Ave, New York, NY 10021, USA","10021"
"76",76,410947,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",306308,"Chelsea-Village  ","Annual Average 2016",10.05,-74.0013737,40.7465004,"404 W 23rd St, New York, NY 10011, USA","10011"
"77",77,410950,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",309310,"Union Square-Lower Manhattan","Annual Average 2016",9.18,-73.9910835,40.7358633,"97 E 15th St, New York, NY 10003, USA","10003"
"78",78,410953,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",404406,"Bayside Little Neck-Fresh Meadows","Annual Average 2016",6.94,-73.7683627,40.7601388,"214-20 Northern Blvd, Bayside, NY 11361, USA","11361"
"79",79,410956,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",501502,"Northern SI","Annual Average 2016",6.97,-74.1075022,40.6125128,"2 Dobbs Pl, Staten Island, NY 10301, USA","10301"
"80",80,410959,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",503504,"Southern SI","Annual Average 2016",6.78,-74.0006686,40.7208595,"459 Broadway, New York, NY 10013, USA","10013"
"81",81,410962,365,4,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF34","Neighborhood (UHF 34)",105106107,"South Bronx","Annual Average 2016",8.21,-73.9184261,40.81767,"360 E 151st St, Bronx, NY 10455, USA","10455"
"82",82,410968,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",101,"Financial District (CD1)","Annual Average 2016",9.56,-74.0082787,40.7077143,"26 Liberty St, New York, NY 10005, USA","10005"
"83",83,410971,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",102,"Greenwich Village and Soho (CD2)","Annual Average 2016",9.53,-73.9979716,40.7278058,"Off-Campus Housing, New York, NY 10012, USA","10012"
"84",84,410974,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",103,"Lower East Side and Chinatown (CD3)","Annual Average 2016",8.9,-73.9970307,40.7157509,"20 Elizabeth St, New York, NY 10013, USA","10013"
"85",85,410977,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",104,"Clinton and Chelsea (CD4)","Annual Average 2016",9.76,-73.9915613,40.7575867,"330 W 42nd St, New York, NY 10036, USA","10036"
"86",86,410980,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",105,"Midtown (CD5)","Annual Average 2016",11.34,-73.9840195,40.7549309,"42 St-Bryant Park Subway Station, New York, NY 10018, USA","10018"
"87",87,410983,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",106,"Stuyvesant Town and Turtle Bay (CD6)","Annual Average 2016",10.21,-73.9772417,40.7336112,"518 E 20th St, New York, NY 10009, USA","10009"
"88",88,410986,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",107,"Upper West Side (CD7)","Annual Average 2016",8.49,-73.9753676,40.7870106,"525 Amsterdam Ave, New York, NY 10024, USA","10024"
"89",89,410989,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",108,"Upper East Side (CD8)","Annual Average 2016",9.1,-73.9565551,40.7735649,"235 E 78th St, New York, NY 10075, USA","10075"
"90",90,410992,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",109,"Morningside Heights and Hamilton Heights (CD9)","Annual Average 2016",8.01,-73.957341,40.815638,"16 Old Broadway, New York, NY 10027, USA","10027"
"91",91,410995,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",110,"Central Harlem (CD10)","Annual Average 2016",7.89,-73.9499018,40.7973402,"9 W 110th St, New York, NY 10026, USA","10026"
"92",92,410998,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",111,"East Harlem (CD11)","Annual Average 2016",8.17,-73.9428147,40.8002976,"1664 Park Ave, New York, NY 10035, USA","10035"
"93",93,411001,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",112,"Washington Heights and Inwood (CD12)","Annual Average 2016",7.79,-73.9216022,40.8655733,"Messiah Mission Church, 202 Sherman Ave, New York, NY 10034, USA","10034"
"94",94,411004,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",201,"Mott Haven and Melrose (CD1)","Annual Average 2016",8.55,-73.9128734,40.8196463,"3024 3rd Ave, Bronx, NY 10455, USA","10455"
"95",95,411007,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",202,"Hunts Point and Longwood (CD2)","Annual Average 2016",8.49,-73.8920959,40.8211124,"1029 East 163rd Street, 3rd Floor, Bronx, NY 10459, United States","10459"
"96",96,411010,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",203,"Morrisania and Crotona (CD3)","Annual Average 2016",7.85,-73.8904307,40.8462275,"1975 Crotona Ave, Bronx, NY 10457, USA","10457"
"97",97,411013,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",204,"Highbridge and Concourse (CD4)","Annual Average 2016",8.25,-73.9271294,40.836916,"1164 Ogden Ave, Bronx, NY 10452, USA","10452"
"98",98,411016,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",205,"Fordham and University Heights (CD5)","Annual Average 2016",8.34,-73.9129619,40.861927,"209 W Fordham Rd, Bronx, NY 10468, USA","10468"
"99",99,411019,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",206,"Belmont and East Tremont (CD6)","Annual Average 2016",7.96,-73.864427,40.8410515,"1597 White Plains Rd, Bronx, NY 10460, USA","10460"
"100",100,411022,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",207,"Kingsbridge Heights and Bedford (CD7)","Annual Average 2016",7.78,-73.9006631,40.8776345,"5900, 3101 Kingsbridge Terrace, Bronx, NY 10463, United States","10463"
"101",101,411025,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",208,"Riverdale and Fieldston (CD8)","Annual Average 2016",7.49,-73.9069954,40.8859211,"3525 Riverdale Ave, Bronx, NY 10463, USA","10463"
"102",102,411028,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",209,"Parkchester and Soundview (CD9)","Annual Average 2016",7.6,-73.8566087,40.8382522,"1690 Metropolitan Ave, Bronx, NY 10462, USA","10462"
"103",103,411031,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",210,"Throgs Neck and Co-op City (CD10)","Annual Average 2016",7.51,-73.8213213,40.818399,"327 Swinton Ave, Bronx, NY 10465, USA","10465"
"104",104,411034,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",211,"Morris Park and Bronxdale (CD11)","Annual Average 2016",7.4,-73.8596912,40.8476095,"1824 Bronxdale Ave, Bronx, NY 10462, USA","10462"
"105",105,411037,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",212,"Williamsbridge and Baychester (CD12)","Annual Average 2016",7.46,-73.8566087,40.8776859,"3635 Paulding Ave, Bronx, NY 10469, USA","10469"
"106",106,411040,365,17,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","CD","Neighborhood (community district)",301,"Greenpoint and Williamsburg (CD1)","Annual Average 2016",9.55,-73.9515032,40.7304701,"210 Greenpoint Ave, Brooklyn, NY 11222, USA","11222"
